decode_step,l2_retained_fraction,policy
88,0.995960520465831,user_pinned__budget128__sink8
89,0.9960390327133318,user_pinned__budget128__sink8
90,0.9957920687189341,user_pinned__budget128__sink8
91,0.9958609654052399,user_pinned__budget128__sink8
92,0.9958014086050175,user_pinned__budget128__sink8
93,0.9959765293668024,user_pinned__budget128__sink8
94,0.9960375929397256,user_pinned__budget128__sink8
95,0.996422894002802,user_pinned__budget128__sink8
96,0.9959637615497104,user_pinned__budget128__sink8
97,0.9969779067387672,user_pinned__budget128__sink8
